Data;1THBbat (Tajlandia);1USDdolar amerykañski;1AUDdolar australijski;1HKDdolar Hongkongu;1CADdolar kanadyjski;1NZDdolar nowozelandzki;1SGDdolar singapurski;1EUReuro;100HUFforint (Wêgry);1CHFfrank szwajcarski;1GBPfunt szterling;1UAHhrywna (Ukraina);100JPYjen (Japonia);1CZKkorona czeska;1DKKkorona duñska;100ISKkorona islandzka;1NOKkorona norweska;1SEKkorona szwedzka;1HRKkuna chorwacka;1RONlej rumuñski;1BGNlew bu³garski;1TRYlira turecka;1LTLlit litewski;1LVL³at ³otewski;1ILSnowy  izraelski szekel;100CLPpeso  chilijskie;1PHPpeso filipinskie;1MXNpeso meksykañskie;1ZARrand (RPA);1BRLreal brazylijski;1MYRringgit malezyjski;1RUBrubel rosyjski;10000IDRrupia (Indonezja);100INRrupia  indyjska;100KRWwon (Korea Po³udniowa);1CNYyuan renminbi (Chiny);1XDRSDR (MFW);Nr tabeli;Pe³ny numer tabeli;
20120102;0,1095;3,4454;3,5229;0,4437;3,3799;2,6816;2,6560;4,4640;1,4161;3,6668;5,3480;0,4300;4,4786;0,1751;0,6006;2,8129;0,5759;0,5006;0,5925;1,0334;2,2824;1,8343;1,2928;6,3831;0,9041;0,6632;0,0784;0,2473;0,4265;1,8495;1,0863;0,1071;3,7935;6,4793;0,2981;0,5475;5,2967;1;001/A/NBP/2012;
20120103;0,1091;3,4277;3,5345;0,4412;3,3786;2,6964;2,6621;4,4597;1,4155;3,6622;5,3394;0,4296;4,4601;0,1748;0,5998;2,8061;0,5765;0,5008;0,5917;1,0290;2,2802;1,8150;1,2916;6,3787;0,9002;0,6612;0,0783;0,2478;0,4239;1,8324;1,0886;0,1078;3,7898;6,4376;0,2980;0,5446;5,2916;2;002/A/NBP/2012;
20120104;0,1091;3,4320;3,5528;0,4418;3,3887;2,7084;2,6687;4,4753;1,4009;3,6714;5,3712;0,4262;4,4787;0,1738;0,6018;2,8147;0,5805;0,5037;0,5933;1,0351;2,2882;1,8383;1,2961;6,4038;0,8918;0,6694;0,0784;0,2514;0,4250;1,8755;1,0947;0,1084;3,7576;6,4707;0,2986;0,5453;5,3059;3;003/A/NBP/2012;
20120105;0,1111;3,5081;3,6020;0,4518;3,4449;2,7447;2,7145;4,5135;1,4020;3,7037;5,4616;0,4361;4,5679;0,1742;0,6070;2,8515;0,5874;0,5098;0,5992;1,0399;2,3078;1,8627;1,3072;6,4612;0,9132;0,6870;0,0797;0,2554;0,4273;1,9142;1,1140;0,1099;3,7897;6,6349;0,3037;0,5566;5,3671;4;004/A/NBP/2012;
20120109;0,1106;3,5150;3,5949;0,4526;3,4201;2,7599;2,7081;4,4902;1,4302;3,6940;5,4269;0,4360;4,5727;0,1740;0,6038;2,8398;0,5854;0,5079;0,5960;1,0321;2,2958;1,8769;1,3004;6,4353;0,9163;0,6880;0,0797;0,2562;0,4313;1,8918;1,1145;0,1103;3,8775;6,6851;0,3027;0,5566;5,3777;5;005/A/NBP/2012;
20120110;0,1109;3,5083;3,6206;0,4517;3,4429;2,7864;2,7220;4,4883;1,4292;3,7015;5,4328;0,4364;4,5659;0,1738;0,6035;2,8372;0,5853;0,5085;0,5959;1,0282;2,2949;1,8711;1,2999;6,4302;0,9162;0,6836;0,0797;0,2573;0,4316;1,9148;1,1182;0,1106;3,8493;6,7325;0,3035;0,5556;5,3917;6;006/A/NBP/2012;
20120111;0,1102;3,4919;3,6053;0,4495;3,4430;2,7801;2,7042;4,4645;1,4358;3,6807;5,4027;0,4342;4,5396;0,1733;0,6003;2,8169;0,5834;0,5068;0,5922;1,0228;2,2827;1,8754;1,2930;6,3943;0,9098;0,6870;0,0794;0,2567;0,4311;1,9408;1,1124;0,1104;3,8183;6,7633;0,3017;0,5530;5,3299;7;007/A/NBP/2012;
20120112;0,1099;3,4945;3,6083;0,4497;3,4357;2,7832;2,7029;4,4532;1,4361;3,6756;5,3576;0,4357;4,5397;0,1733;0,5988;2,8023;0,5801;0,5038;0,5906;1,0249;2,2769;1,8881;1,2897;6,3713;0,9095;0,6901;0,0793;0,2573;0,4334;1,9368;1,1120;0,1104;3,8127;6,7555;0,3022;0,5527;5,3405;8;008/A/NBP/2012;
20120113;0,1082;3,4323;3,5555;0,4419;3,3747;2,7283;2,6646;4,4040;1,4240;3,6376;5,2711;0,4267;4,4752;0,1724;0,5922;2,7655;0,5717;0,4956;0,5831;1,0165;2,2518;1,8524;1,2754;6,2860;0,8954;0,6864;0,0785;0,2535;0,4262;1,9294;1,0951;0,1084;3,7505;6,6791;0,2990;0,5443;5,2817;9;009/A/NBP/2012;
20120116;0,1092;3,4798;3,5851;0,4483;3,4104;2,7622;2,6937;4,4056;1,4200;3,6443;5,3324;0,4323;4,5306;0,1721;0,5925;2,7720;0,5742;0,4970;0,5834;1,0172;2,2526;1,8766;1,2759;6,2978;0,9037;0,6909;0,0793;0,2562;0,4276;1,9492;1,1082;0,1092;3,8251;6,7444;0,3019;0,5508;5,2728;10;010/A/NBP/2012;
20120117;0,1078;3,4215;3,5693;0,4400;3,3788;2,7427;2,6645;4,3708;1,4063;3,6136;5,2584;0,4253;4,4607;0,1709;0,5878;2,7420;0,5701;0,4944;0,5785;1,0109;2,2348;1,8599;1,2658;6,2444;0,8919;0,6840;0,0783;0,2540;0,4269;1,9135;1,0940;0,1085;3,7949;6,7242;0,2993;0,5413;5,2312;11;011/A/NBP/2012;
20120118;0,1070;3,4000;3,5311;0,4379;3,3520;2,7306;2,6540;4,3491;1,4183;3,5959;5,2241;0,4227;4,4288;0,1703;0,5849;2,7250;0,5655;0,4934;0,5757;1,0006;2,2237;1,8478;1,2596;6,2126;0,8910;0,6829;0,0783;0,2534;0,4237;1,9012;1,0901;0,1077;3,7589;6,7078;0,2979;0,5386;5,1971;12;012/A/NBP/2012;
20120119;0,1064;3,3678;3,5011;0,4342;3,3339;2,6974;2,6382;4,3391;1,4339;3,5912;5,1996;0,4188;4,3894;0,1704;0,5835;2,7130;0,5656;0,4936;0,5742;0,9991;2,2186;1,8374;1,2567;6,1974;0,8895;0,6790;0,0774;0,2527;0,4225;1,9064;1,0845;0,1069;3,7535;6,6887;0,2964;0,5332;5,1765;13;013/A/NBP/2012;
20120120;0,1063;3,3537;3,4835;0,4320;3,3036;2,6851;2,6268;4,3260;1,4181;3,5819;5,1839;0,4161;4,3442;0,1705;0,5818;2,7006;0,5646;0,4931;0,5718;0,9949;2,2119;1,8322;1,2529;6,1884;0,8854;0,6837;0,0775;0,2523;0,4207;1,8970;1,0790;0,1068;3,7317;6,6474;0,2956;0,5293;5,1421;14;014/A/NBP/2012;
20120123;0,1062;3,3353;3,5033;0,4297;3,2934;2,6954;2,6280;4,3111;1,4200;3,5707;5,1872;0,4153;4,3310;0,1694;0,5798;2,6891;0,5612;0,4905;0,5697;0,9916;2,2043;1,8169;1,2486;6,1697;0,8794;0,6767;0,0770;0,2528;0,4182;1,9003;1,0731;0,1067;3,7326;6,6393;0,2942;0,5265;5,1270;15;015/A/NBP/2012;
20120124;0,1049;3,2970;3,4508;0,4247;3,2615;2,6641;2,5942;4,2885;1,4234;3,5545;5,1224;0,4096;4,2640;0,1692;0,5767;2,6700;0,5616;0,4878;0,5667;0,9873;2,1927;1,8080;1,2420;6,1435;0,8695;0,6743;0,0764;0,2492;0,4126;1,8765;1,0607;0,1066;3,6859;6,5825;0,2915;0,5204;5,0739;16;016/A/NBP/2012;
20120125;0,1046;3,2990;3,4590;0,4251;3,2568;2,6649;2,5992;4,2855;1,4352;3,5453;5,1385;0,4101;4,2234;0,1693;0,5764;2,6626;0,5578;0,4849;0,5660;0,9862;2,1912;1,8091;1,2411;6,1436;0,8718;0,6694;0,0765;0,2508;0,4140;1,8764;1,0725;0,1075;3,6779;6,5877;0,2922;0,5210;5,0727;17;017/A/NBP/2012;
20120126;0,1030;3,2233;3,4396;0,4154;3,2220;2,6490;2,5661;4,2431;1,4427;3,5147;5,0588;0,4025;4,1607;0,1687;0,5708;2,6267;0,5536;0,4777;0,5598;0,9783;2,1695;1,7958;1,2289;6,0759;0,8604;0,6542;0,0752;0,2509;0,4116;1,8302;1,0594;0,1065;3,6104;6,4514;0,2876;0,5087;5,0357;18;018/A/NBP/2012;
20120127;0,1031;3,2163;3,4265;0,4147;3,2131;2,6507;2,5622;4,2223;1,4349;3,4966;5,0551;0,4003;4,1801;0,1679;0,5680;2,6112;0,5516;0,4748;0,5583;0,9739;2,1589;1,7979;1,2228;6,0409;0,8578;0,6603;0,0750;0,2483;0,4126;1,8375;1,0572;0,1060;3,5759;6,5157;0,2866;0,5078;4,9664;19;019/A/NBP/2012;
20120130;0,1041;3,2433;3,4193;0,4180;3,2260;2,6504;2,5737;4,2589;1,4399;3,5335;5,0816;0,4032;4,2278;0,1688;0,5728;2,6319;0,5546;0,4780;0,5620;0,9830;2,1776;1,8097;1,2334;6,0959;0,8624;0,6690;0,0753;0,2491;0,4138;1,8667;1,0608;0,1066;3,6008;6,5330;0,2871;0,5121;5,0126;20;020/A/NBP/2012;
20120131;0,1037;3,2032;3,4193;0,4130;3,2083;2,6571;2,5595;4,2270;1,4410;3,5054;5,0496;0,4002;4,1995;0,1680;0,5686;2,6093;0,5520;0,4754;0,5575;0,9738;2,1613;1,8067;1,2242;6,0450;0,8571;0,6527;0,0747;0,2481;0,4120;1,8325;1,0531;0,1064;3,5777;6,4881;0,2856;0,5078;4,9893;21;021/A/NBP/2012;
20120201;0,1029;3,1913;3,4068;0,4114;3,1917;2,6459;2,5460;4,1933;1,4285;3,4824;5,0285;0,3972;4,1935;0,1663;0,5641;2,5899;0,5483;0,4730;0,5533;0,9646;2,1441;1,8040;1,2145;6,0011;0,8557;0,6492;0,0743;0,2464;0,4103;1,8263;1,0490;0,1056;3,5756;6,4608;0,2838;0,5058;4,9364;22;022/A/NBP/2012;
