data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1LTL;1LVL;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna chorwacka;lej rumuñski;lew bu³garski;lira turecka;lit litewski;³at ³otewski;nowy  izraelski szekel;peso  chilijskie;peso filipinskie;peso meksykañskie;rand (RPA);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia (Indonezja);rupia  indyjska;won (Korea Po³udniowa);yuan renminbi (Chiny);SDR (MFW);
20130102;0,1009;3,0660;3,2141;0,3955;3,1109;2,5693;2,5120;4,0671;1,3883;3,3647;5,0026;0,3805;3,5205;0,1616;0,5452;2,4059;0,5552;0,4752;0,5375;0,9165;2,0795;1,7230;1,1779;5,8268;0,8243;0,6405;0,0750;0,2399;0,3623;1,4967;1,0100;0,1014;3,1491;5,6374;0,2883;0,4921;4,7416;1;001/A/NBP/2013;
20130103;0,1022;3,1005;3,2581;0,4001;3,1480;2,5854;2,5375;4,0770;1,3999;3,3717;5,0296;0,3870;3,5590;0,1614;0,5465;2,4139;0,5580;0,4769;0,5388;0,9231;2,0846;1,7427;1,1808;5,8418;0,8304;0,6538;0,0761;0,2431;0,3626;1,5166;1,0229;0,1028;3,1568;5,6862;0,2921;0,4977;4,7349;2;002/A/NBP/2013;
20130104;0,1039;3,1700;3,3038;0,4090;3,2007;2,6087;2,5785;4,1248;1,4184;3,4106;5,0873;0,3942;3,5948;0,1628;0,5530;2,4422;0,5663;0,4843;0,5443;0,9318;2,1090;1,7721;1,1946;5,9111;0,8398;0,6711;0,0775;0,2474;0,3666;1,5485;1,0399;0,1041;3,1938;5,7635;0,2980;0,5088;4,8281;3;003/A/NBP/2013;
20130107;0,1037;3,1618;3,3180;0,4079;3,2031;2,6357;2,5676;4,1218;1,4169;3,4094;5,0767;0,3941;3,6022;0,1619;0,5525;2,4411;0,5636;0,4830;0,5441;0,9323;2,1075;1,7743;1,1937;5,9111;0,8365;0,6684;0,0773;0,2478;0,3677;1,5541;1,0389;0,1039;3,1915;5,7248;0,2972;0,5075;4,8304;4;004/A/NBP/2013;
20130108;0,1033;3,1457;3,3010;0,4064;3,1922;2,6301;2,5610;4,1263;1,4108;3,4123;5,0605;0,3901;3,5981;0,1616;0,5531;2,4430;0,5631;0,4818;0,5450;0,9360;2,1098;1,7692;1,1951;5,9201;0,8298;0,6675;0,0770;0,2466;0,3663;1,5511;1,0340;0,1040;3,2136;5,7043;0,2960;0,5054;4,8332;5;005/A/NBP/2013;
20130109;0,1037;3,1516;3,3097;0,4067;3,1924;2,6384;2,5677;4,1192;1,4128;3,4075;5,0642;0,3892;3,6009;0,1614;0,5521;2,4367;0,5620;0,4795;0,5440;0,9345;2,1061;1,7728;1,1930;5,9141;0,8339;0,6672;0,0773;0,2466;0,3670;1,5436;1,0373;0,1036;3,2056;5,7461;0,2971;0,5062;4,8227;6;006/A/NBP/2013;
20130110;0,1027;3,1121;3,2905;0,4014;3,1565;2,6206;2,5391;4,0760;1,4066;3,3718;4,9917;0,3839;3,5295;0,1586;0,5463;2,4054;0,5571;0,4745;0,5382;0,9319;2,0841;1,7539;1,1805;5,8530;0,8243;0,6610;0,0766;0,2458;0,3614;1,5245;1,0271;0,1026;3,1720;5,6929;0,2937;0,4998;4,7713;7;007/A/NBP/2013;
20130111;0,1020;3,0890;3,2634;0,3984;3,1418;2,5989;2,5207;4,0996;1,3878;3,3693;4,9783;0,3796;3,4739;0,1598;0,5494;2,4038;0,5576;0,4748;0,5414;0,9375;2,0961;1,7435;1,1873;5,8835;0,8254;0,6563;0,0761;0,2446;0,3559;1,5221;1,0226;0,1020;3,1904;5,6442;0,2928;0,4969;4,7829;8;008/A/NBP/2013;
20130114;0,1020;3,0828;3,2609;0,3982;3,1354;2,5981;2,5162;4,1231;1,3864;3,3674;4,9724;0,3785;3,4491;0,1611;0,5525;2,4098;0,5590;0,4774;0,5446;0,9417;2,1081;1,7439;1,1941;5,9138;0,8267;0,6548;0,0758;0,2437;0,3547;1,5154;1,0219;0,1020;3,2086;5,6599;0,2919;0,4957;4,7702;9;009/A/NBP/2013;
20130115;0,1024;3,0750;3,2464;0,3967;3,1248;2,5913;2,5108;4,1151;1,4013;3,3330;4,9478;0,3875;3,4610;0,1607;0,5514;2,4002;0,5583;0,4768;0,5436;0,9380;2,1040;1,7374;1,1918;5,9015;0,8240;0,6495;0,0758;0,2434;0,3512;1,5125;1,0212;0,1019;3,2024;5,6435;0,2911;0,4949;4,7476;10;010/A/NBP/2013;
20130116;0,1041;3,1097;3,2755;0,4010;3,1528;2,6063;2,5392;4,1280;1,3983;3,3437;4,9822;0,3826;3,5317;0,1615;0,5532;2,4091;0,5564;0,4765;0,5460;0,9513;2,1106;1,7558;1,1956;5,9183;0,8332;0,6545;0,0763;0,2456;0,3509;1,5265;1,0298;0,1024;3,2125;5,6692;0,2934;0,5001;4,7689;11;011/A/NBP/2013;
20130117;0,1036;3,0853;3,2458;0,3980;3,1259;2,5918;2,5217;4,1178;1,4091;3,3129;4,9410;0,3805;3,4611;0,1612;0,5518;2,3969;0,5558;0,4757;0,5445;0,9503;2,1054;1,7542;1,1926;5,9037;0,8285;0,6502;0,0760;0,2448;0,3519;1,5103;1,0233;0,1019;3,2120;5,6809;0,2916;0,4963;4,7707;12;012/A/NBP/2013;
20130118;0,1039;3,0925;3,2478;0,3989;3,1260;2,5824;2,5218;4,1294;1,4109;3,3067;4,9286;0,3804;3,4396;0,1610;0,5534;2,4008;0,5550;0,4761;0,5458;0,9519;2,1114;1,7609;1,1960;5,9203;0,8307;0,6549;0,0762;0,2453;0,3490;1,5170;1,0264;0,1022;3,2211;5,7380;0,2923;0,4976;4,7528;13;013/A/NBP/2013;
20130121;0,1054;3,1351;3,2990;0,4043;3,1590;2,6216;2,5489;4,1762;1,4272;3,3648;4,9820;0,3859;3,5028;0,1632;0,5596;2,4408;0,5595;0,4797;0,5511;0,9606;2,1353;1,7798;1,2095;5,9857;0,8386;0,6648;0,0770;0,2475;0,3532;1,5367;1,0332;0,1035;3,2576;5,8226;0,2949;0,5039;4,8160;14;014/A/NBP/2013;
20130122;0,1053;3,1341;3,3118;0,4048;3,1562;2,6377;2,5555;4,1700;1,4198;3,3689;4,9596;0,3848;3,5352;0,1631;0,5587;2,4386;0,5603;0,4809;0,5498;0,9563;2,1321;1,7770;1,2077;5,9768;0,8385;0,6633;0,0771;0,2468;0,3546;1,5351;1,0302;0,1037;3,2527;5,8307;0,2947;0,5039;4,8089;15;015/A/NBP/2013;
20130123;0,1048;3,1195;3,2958;0,4024;3,1482;2,6284;2,5436;4,1591;1,4137;3,3587;4,9519;0,3849;3,5320;0,1624;0,5573;2,4280;0,5615;0,4789;0,5482;0,9530;2,1265;1,7614;1,2046;5,9612;0,8383;0,6627;0,0768;0,2465;0,3500;1,5264;1,0258;0,1034;3,2442;5,8126;0,2929;0,5017;4,8004;16;016/A/NBP/2013;
20130124;0,1058;3,1503;3,3104;0,4063;3,1526;2,6518;2,5662;4,1964;1,4225;3,3857;4,9880;0,3868;3,5188;0,1641;0,5623;2,4376;0,5667;0,4840;0,5539;0,9607;2,1456;1,7797;1,2154;6,0077;0,8466;0,6686;0,0775;0,2482;0,3485;1,5472;1,0358;0,1044;3,2720;5,8612;0,2952;0,5066;4,8387;17;017/A/NBP/2013;
20130125;0,1043;3,1186;3,2600;0,4022;3,1089;2,6159;2,5358;4,1903;1,4092;3,3680;4,9205;0,3836;3,4352;0,1639;0,5615;2,4256;0,5654;0,4825;0,5526;0,9604;2,1424;1,7646;1,2136;5,9964;0,8393;0,6646;0,0766;0,2472;0,3461;1,5362;1,0243;0,1040;3,2546;5,7948;0,2899;0,5013;4,8163;18;018/A/NBP/2013;
20130128;0,1036;3,1074;3,2306;0,4005;3,0773;2,5797;2,5074;4,1805;1,4071;3,3531;4,8923;0,3831;3,4243;0,1634;0,5603;2,4186;0,5619;0,4814;0,5513;0,9528;2,1374;1,7554;1,2108;5,9824;0,8331;0,6583;0,0759;0,2434;0,3471;1,5304;1,0204;0,1033;3,2182;5,7665;0,2847;0,4993;4,7679;19;019/A/NBP/2013;
20130129;0,1046;3,1229;3,2624;0,4024;3,1039;2,6094;2,5251;4,1969;1,4110;3,3763;4,9055;0,3833;3,4456;0,1637;0,5626;2,4267;0,5641;0,4864;0,5530;0,9567;2,1458;1,7637;1,2155;6,0050;0,8376;0,6607;0,0766;0,2451;0,3444;1,5644;1,0142;0,1036;3,2222;5,8126;0,2883;0,5016;4,7953;20;020/A/NBP/2013;
20130130;0,1039;3,0938;3,2302;0,3987;3,0866;2,5823;2,5010;4,1858;1,4184;3,3629;4,8732;0,3802;3,3870;0,1633;0,5611;2,4036;0,5627;0,4863;0,5517;0,9552;2,1401;1,7521;1,2123;5,9900;0,8295;0,6563;0,0761;0,2438;0,3429;1,5576;1,0034;0,1031;3,2137;5,7971;0,2849;0,4973;4,7879;21;021/A/NBP/2013;
20130131;0,1035;3,0874;3,2159;0,3980;3,0800;2,5861;2,4945;4,1870;1,4318;3,3890;4,8885;0,3792;3,3934;0,1635;0,5612;2,3960;0,5628;0,4857;0,5514;0,9556;2,1408;1,7511;1,2126;5,9840;0,8295;0,6553;0,0759;0,2431;0,3442;1,5535;0,9936;0,1027;3,1852;5,7970;0,2834;0,4964;4,7638;22;022/A/NBP/2013;
20130201;0,1031;3,0744;3,1878;0,3964;3,0756;2,5834;2,4768;4,2028;1,4376;3,3991;4,8629;0,3784;3,3344;0,1636;0,5633;2,4364;0,5649;0,4882;0,5535;0,9597;2,1488;1,7526;1,2172;6,0083;0,8330;0,6523;0,0756;0,2411;0,3422;1,5442;0,9895;0,1027;3,1973;5,7792;0,2802;0,4937;4,7808;23;023/A/NBP/2013;
20130204;0,1027;3,0563;3,1832;0,3940;3,0681;2,5827;2,4664;4,1515;1,4206;3,3564;4,8066;0,3751;3,2807;0,1620;0,5565;2,4193;0,5583;0,4838;0,5469;0,9514;2,1227;1,7436;1,2024;5,9282;0,8282;0,6481;0,0752;0,2419;0,3427;1,5355;0,9878;0,1019;3,1582;5,7488;0,2816;0,4902;4,6982;24;024/A/NBP/2013;
20130205;0,1037;3,0831;3,2100;0,3977;3,0880;2,6043;2,4923;4,1700;1,4246;3,3929;4,8658;0,3785;3,3215;0,1626;0,5590;2,4301;0,5619;0,4872;0,5493;0,9527;2,1321;1,7524;1,2077;5,9588;0,8356;0,6524;0,0759;0,2431;0,3471;1,5446;0,9983;0,1026;3,1723;5,7905;0,2839;0,4949;4,7336;25;025/A/NBP/2013;
20130206;0,1037;3,0868;3,1830;0,3982;3,0975;2,5977;2,4942;4,1801;1,4231;3,3841;4,8353;0,3790;3,2936;0,1624;0,5604;2,4310;0,5621;0,4867;0,5512;0,9533;2,1373;1,7490;1,2106;5,9716;0,8356;0,6530;0,0759;0,2442;0,3472;1,5543;0,9964;0,1029;3,1800;5,8095;0,2837;0,4954;4,7496;26;026/A/NBP/2013;
20130207;0,1038;3,0886;3,1888;0,3982;3,1026;2,5837;2,4961;4,1882;1,4240;3,4017;4,8402;0,3803;3,2912;0,1659;0,5613;2,4343;0,5628;0,4869;0,5527;0,9511;2,1414;1,7458;1,2130;5,9874;0,8379;0,6535;0,0759;0,2435;0,3467;1,5505;0,9991;0,1028;3,1910;5,7962;0,2836;0,4956;4,7571;27;027/A/NBP/2013;
20130208;0,1043;3,1056;3,2077;0,4004;3,1104;2,5989;2,5090;4,1670;1,4244;3,3884;4,8891;0,3810;3,3504;0,1652;0,5584;2,4297;0,5630;0,4845;0,5499;0,9479;2,1306;1,7526;1,2068;5,9554;0,8402;0,6571;0,0763;0,2439;0,3480;1,5780;1,0023;0,1030;3,1749;5,7945;0,2834;0,4983;4,7283;28;028/A/NBP/2013;
