data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1LTL;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna chorwacka;lej rumuñski;lew bu³garski;lira turecka;lit litewski;nowy  izraelski szekel;peso  chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real brazylijski;ringgit malezyjski;rubel rosyjski;rupia indonezyjska;rupia  indyjska;won (Korea Po³udniowa);yuan renminbi (Chiny);SDR (MFW);
20140102;0,0920;3,0315;2,6959;0,3911;2,8505;2,4822;2,3931;4,1631;1,3979;3,3816;5,0167;0,3720;2,8778;0,1517;0,5582;2,6282;0,4951;0,4678;0,5458;0,9329;2,1286;1,3986;1,2057;0,8697;0,5769;0,0682;0,2313;0,2856;1,2837;0,9226;0,0919;2,4825;4,8816;0,2886;0,5011;4,6515;1;001/A/NBP/2014;
20140103;0,0925;3,0517;2,7446;0,3935;2,8687;2,5248;2,4105;4,1645;1,3951;3,3884;5,0214;0,3721;2,9253;0,1514;0,5584;2,6391;0,4962;0,4686;0,5459;0,9282;2,1293;1,4076;1,2061;0,8713;0,5762;0,0683;0,2329;0,2874;1,2781;0,9286;0,0919;2,5201;4,9007;0,2892;0,5043;4,6875;2;002/A/NBP/2014;
20140107;0,0927;3,0688;2,7374;0,3958;2,8718;2,5418;2,4142;4,1798;1,3907;3,3817;5,0308;0,3735;2,9411;0,1521;0,5603;2,6388;0,4980;0,4717;0,5479;0,9294;2,1371;1,4076;1,2106;0,8771;0,5764;0,0686;0,2341;0,2879;1,2917;0,9345;0,0923;2,5225;4,9213;0,2871;0,5072;4,7107;3;003/A/NBP/2014;
20140108;0,0929;3,0717;2,7403;0,3961;2,8407;2,5423;2,4169;4,1789;1,3923;3,3765;5,0427;0,3729;2,9272;0,1521;0,5601;2,6332;0,4955;0,4695;0,5478;0,9294;2,1367;1,4104;1,2103;0,8762;0,5786;0,0687;0,2356;0,2881;1,2951;0,9386;0,0923;2,5481;4,9418;0,2885;0,5076;4,7020;4;004/A/NBP/2014;
20140109;0,0929;3,0695;2,7248;0,3958;2,8323;2,5368;2,4141;4,1776;1,3912;3,3787;5,0521;0,3736;2,9240;0,1523;0,5599;2,6217;0,4962;0,4679;0,5477;0,9208;2,1360;1,4021;1,2099;0,8768;0,5739;0,0687;0,2338;0,2841;1,2816;0,9368;0,0927;2,5128;4,9494;0,2887;0,5069;4,7090;5;005/A/NBP/2014;
20140110;0,0928;3,0700;2,7308;0,3959;2,8274;2,5285;2,4170;4,1745;1,3934;3,3818;5,0389;0,3707;2,9248;0,1525;0,5595;2,6238;0,4965;0,4701;0,5472;0,9194;2,1344;1,4089;1,2090;0,8806;0,5748;0,0687;0,2345;0,2848;1,2842;0,9390;0,0922;2,5186;4,9567;0,2892;0,5072;4,7021;6;006/A/NBP/2014;
20140113;0,0924;3,0450;2,7531;0,3926;2,7888;2,5377;2,4061;4,1600;1,3936;3,3718;5,0039;0,3670;2,9449;0,1519;0,5575;2,6090;0,4966;0,4686;0,5454;0,9166;2,1270;1,4009;1,2048;0,8735;0,5750;0,0683;0,2339;0,2843;1,2900;0,9335;0,0919;2,5624;4,9504;0,2881;0,5038;4,6925;7;007/A/NBP/2014;
20140114;0,0929;3,0400;2,7397;0,3920;2,7888;2,5529;2,3985;4,1565;1,3861;3,3731;4,9874;0,3653;2,9344;0,1518;0,5570;2,6332;0,4968;0,4701;0,5450;0,9187;2,1252;1,3878;1,2038;0,8709;0,5755;0,0679;0,2318;0,2801;1,2879;0,9318;0,0914;2,5785;4,9425;0,2868;0,5031;4,6810;8;008/A/NBP/2014;
20140115;0,0927;3,0495;2,7145;0,3932;2,7796;2,5495;2,3955;4,1522;1,3842;3,3614;5,0066;0,3658;2,9237;0,1513;0,5564;2,6355;0,4991;0,4724;0,5447;0,9167;2,1230;1,3896;1,2026;0,8751;0,5769;0,0676;0,2321;0,2797;1,2951;0,9275;0,0914;2,5295;4,9497;0,2869;0,5043;4,6717;9;009/A/NBP/2014;
