data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pe³ny numer tabeli;
;bat (Tajlandia);dolar amerykañski;dolar australijski;dolar Hongkongu;dolar kanadyjski;dolar nowozelandzki;dolar singapurski;euro;forint (Wêgry);frank szwajcarski;funt szterling;hrywna (Ukraina);jen (Japonia);korona czeska;korona duñska;korona islandzka;korona norweska;korona szwedzka;kuna (Chorwacja);lej rumuñski;lew (Bu³garia);lira turecka;nowy izraelski szekel;peso chilijskie;peso filipiñskie;peso meksykañskie;rand (Republika Po³udniowej Afryki);real (Brazylia);ringgit (Malezja);rubel rosyjski;rupia indonezyjska;rupia indyjska;won po³udniowokoreañski;yuan renminbi (Chiny);SDR (MFW);
20180102;0,1065;3,4546;2,7069;0,4421;2,7572;2,4593;2,6010;4,1701;1,3470;3,5567;4,6805;0,1227;3,0776;0,1633;0,5602;3,3562;0,4259;0,4243;0,5596;0,8911;2,1322;0,9176;0,9981;0,5614;0,0694;0,1770;0,2814;1,0429;0,8595;0,0603;2,5557;5,4408;0,3258;0,5320;4,9519;1;001/A/NBP/2018;
20180103;0,1071;3,4616;2,7121;0,4429;2,7644;2,4586;2,6049;4,1673;1,3467;3,5592;4,7030;0,1242;3,0829;0,1629;0,5598;3,3219;0,4271;0,4237;0,5599;0,8978;2,1307;0,9197;1,0016;0,5708;0,0695;0,1782;0,2800;1,0621;0,8621;0,0603;2,5684;5,4514;0,3250;0,5325;4,9328;2;002/A/NBP/2018;
20180104;0,1070;3,4472;2,7034;0,4409;2,7522;2,4547;2,5934;4,1515;1,3454;3,5308;4,6691;0,1229;3,0626;0,1628;0,5576;3,3146;0,4263;0,4227;0,5593;0,8969;2,1227;0,9158;0,9988;0,5680;0,0692;0,1790;0,2812;1,0649;0,8604;0,0604;2,5681;5,4360;0,3242;0,5308;4,9250;3;003/A/NBP/2018;
20180105;0,1070;3,4488;2,7062;0,4410;2,7579;2,4673;2,5971;4,1544;1,3474;3,5298;4,6663;0,1223;3,0457;0,1628;0,5579;3,3142;0,4262;0,4228;0,5587;0,8962;2,1241;0,9200;1,0006;0,5693;0,0691;0,1786;0,2792;1,0662;0,8627;0,0604;2,5707;5,4388;0,3247;0,5316;4,9164;4;004/A/NBP/2018;
20180108;0,1079;3,4735;2,7220;0,4441;2,7979;2,4893;2,6093;4,1647;1,3481;3,5502;4,6990;0,1231;3,0695;0,1631;0,5593;3,3331;0,4308;0,4247;0,5597;0,8984;2,1294;0,9262;1,0093;0,5735;0,0692;0,1810;0,2804;1,0757;0,8690;0,0609;2,5870;5,4784;0,3255;0,5344;4,9344;5;005/A/NBP/2018;
20180109;0,1085;3,4992;2,7354;0,4473;2,8131;2,5080;2,6211;4,1779;1,3507;3,5622;4,7347;0,1240;3,1003;0,1637;0,5610;3,3383;0,4326;0,4249;0,5610;0,8968;2,1362;0,9283;1,0138;0,5779;0,0696;0,1813;0,2813;1,0798;0,8725;0,0613;2,6041;5,5009;0,3271;0,5364;4,9697;6;006/A/NBP/2018;
20180110;0,1089;3,4999;2,7402;0,4473;2,8102;2,5163;2,6222;4,1784;1,3491;3,5623;4,7240;0,1235;3,1314;0,1634;0,5611;3,3387;0,4335;0,4266;0,5609;0,8997;2,1364;0,9251;1,0181;0,5757;0,0694;0,1816;0,2813;1,0774;0,8740;0,0614;2,6046;5,4928;0,3275;0,5370;4,9782;7;007/A/NBP/2018;
20180111;0,1092;3,4950;2,7517;0,4467;2,7815;2,5185;2,6213;4,1758;1,3512;3,5683;4,7136;0,1228;3,1310;0,1635;0,5607;3,3366;0,4334;0,4266;0,5605;0,9004;2,1351;0,9194;1,0208;0,5742;0,0695;0,1809;0,2804;1,0826;0,8765;0,0613;2,6083;5,4894;0,3267;0,5367;4,9668;8;008/A/NBP/2018;
20180112;0,1075;3,4366;2,7071;0,4392;2,7451;2,4937;2,5885;4,1669;1,3501;3,5365;4,6777;0,1204;3,0929;0,1634;0,5595;3,3189;0,4314;0,4241;0,5586;0,8983;2,1305;0,9142;1,0101;0,5674;0,0682;0,1791;0,2775;1,0688;0,8653;0,0608;2,5736;5,4014;0,3235;0,5321;4,9341;9;009/A/NBP/2018;
